Gene,log2FC,padj,pathway_id,pathway_name
Y54E10BR.7,1.33679902483923,0.0239908436787987,cel04082,Neuroactive ligand signaling
C27A12.8,-1.01551884470333,0.0014827593280445,cel04137,Mitophagy - animal
C30F12.6,-1.14282228112642,0.0113255672608685,cel04080,Neuroactive ligand-receptor interaction
C30F12.6,-1.14282228112642,0.0113255672608685,cel04081,Hormone signaling
K10C3.5,-1.0348351675117,1.67442820735907e-4,cel03008,Ribosome biogenesis in eukaryotes
K10H10.2,1.41725908367198,6.77560421403048e-4,cel00270,Cysteine and methionine metabolism
K10H10.2,1.41725908367198,6.77560421403048e-4,cel00920,Sulfur metabolism
K10H10.2,1.41725908367198,6.77560421403048e-4,cel01100,Metabolic pathways
K10H10.2,1.41725908367198,6.77560421403048e-4,cel01200,Carbon metabolism
K10H10.2,1.41725908367198,6.77560421403048e-4,cel01230,Biosynthesis of amino acids
K10H10.2,1.41725908367198,6.77560421403048e-4,cel01320,Sulfur cycle
B0285.9,1.21167893530284,0.00130838545188338,cel00564,Glycerophospholipid metabolism
B0285.9,1.21167893530284,0.00130838545188338,cel01100,Metabolic pathways
K06H7.4,-1.5764138577034,0.00320018333092818,cel04144,Endocytosis
T28D6.9,1.15315048567054,0.0460706183672017,cel04330,Notch signaling pathway
T28D6.9,1.15315048567054,0.0460706183672017,cel04519,Cadherin signaling
Y47D3B.10,1.51437467284279,4.795059403396919e-11,cel00330,Arginine and proline metabolism
Y47D3B.10,1.51437467284279,4.795059403396919e-11,cel01100,Metabolic pathways
C10C5.3,-1.98625501731504,9.44118726692655e-5,cel00220,Arginine biosynthesis
C10C5.3,-1.98625501731504,9.44118726692655e-5,cel01100,Metabolic pathways
C10C5.3,-1.98625501731504,9.44118726692655e-5,cel01210,2-Oxocarboxylic acid metabolism
C10C5.3,-1.98625501731504,9.44118726692655e-5,cel01230,Biosynthesis of amino acids
F35G2.4,1.25851246920634,9.81811028987794e-9,cel00330,Arginine and proline metabolism
F35G2.4,1.25851246920634,9.81811028987794e-9,cel01100,Metabolic pathways
K08E7.7,-1.56190865764575,0.00130898746854702,cel04120,Ubiquitin mediated proteolysis
K08E7.7,-1.56190865764575,0.00130898746854702,cel04141,Protein processing in endoplasmic reticulum
K08E7.7,-1.56190865764575,0.00130898746854702,cel04310,Wnt signaling pathway
K08E7.7,-1.56190865764575,0.00130898746854702,cel04350,TGF-beta signaling pathway
Y37A1B.5,1.05298290687414,5.64350243773833e-5,cel00920,Sulfur metabolism
Y37A1B.5,1.05298290687414,5.64350243773833e-5,cel01100,Metabolic pathways
R08E5.2,1.56676910394046,3.34353600916439e-5,cel00270,Cysteine and methionine metabolism
R08E5.2,1.56676910394046,3.34353600916439e-5,cel00920,Sulfur metabolism
R08E5.2,1.56676910394046,3.34353600916439e-5,cel01100,Metabolic pathways
R08E5.2,1.56676910394046,3.34353600916439e-5,cel01200,Carbon metabolism
R08E5.2,1.56676910394046,3.34353600916439e-5,cel01230,Biosynthesis of amino acids
R08E5.2,1.56676910394046,3.34353600916439e-5,cel01320,Sulfur cycle
C53A3.2,-1.7780660028897,1.43863124884431e-4,cel00630,Glyoxylate and dicarboxylate metabolism
C53A3.2,-1.7780660028897,1.43863124884431e-4,cel01100,Metabolic pathways
C53A3.2,-1.7780660028897,1.43863124884431e-4,cel01200,Carbon metabolism
F44C4.3,1.36890909342623,1.15914121232179e-7,cel04140,Autophagy - animal
F44C4.3,1.36890909342623,1.15914121232179e-7,cel04142,Lysosome biogenesis
H12C20.2,-1.09244178556832,0.0485424680391927,cel03430,Mismatch repair
H12C20.2,-1.09244178556832,0.0485424680391927,cel03460,Fanconi anemia pathway
T04H1.4,-1.4855175010484,0.0012666225457674,cel03440,Homologous recombination
T04H1.4,-1.4855175010484,0.0012666225457674,cel03450,Non-homologous end-joining
Y50E8A.16,-1.93250344308561,1.82212125743981e-7,cel02010,ABC transporters
Y50E8A.16,-1.93250344308561,1.82212125743981e-7,cel04142,Lysosome biogenesis
ZK470.1,-3.5785819235208,0.0196422474370804,cel04146,Peroxisome
M02D8.4,-1.1825879906522,2.2537377628675e-6,cel00250,"Alanine, aspartate and glutamate metabolism"
M02D8.4,-1.1825879906522,2.2537377628675e-6,cel01100,Metabolic pathways
M02D8.4,-1.1825879906522,2.2537377628675e-6,cel01230,Biosynthesis of amino acids
ZC373.4,-1.34433602479927,6.65630994130711e-4,cel04517,IgSF CAM signaling
T21E8.1,-1.82980512661015,9.1183643117568e-18,cel02010,ABC transporters
ZK455.7,-1.02731399597849,0.00497628738432573,cel02010,ABC transporters
F42E11.1,-1.16829620202549,0.044985032286777,cel02010,ABC transporters
F22E10.1,-1.17109044199064,2.89488562929313e-5,cel02010,ABC transporters
D1025.2,1.39459657951576,0.00296586475502107,cel00260,"Glycine, serine and threonine metabolism"
D1025.2,1.39459657951576,0.00296586475502107,cel00630,Glyoxylate and dicarboxylate metabolism
D1025.2,1.39459657951576,0.00296586475502107,cel00670,One carbon pool by folate
D1025.2,1.39459657951576,0.00296586475502107,cel00785,Lipoic acid metabolism
D1025.2,1.39459657951576,0.00296586475502107,cel01100,Metabolic pathways
D1025.2,1.39459657951576,0.00296586475502107,cel01200,Carbon metabolism
