"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_num"
"GO:0045087","innate immune response","66/618","334/9826",0.197604790419162,3.14185221789431,10.3171972273807,2.12881798754507e-17,1.93718641728883e-14,1.82695383677713e-14,"Y47G6A.14/C37A5.3/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59B1.8/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",66,0.106796116504854
"GO:0140546","defense response to symbiont","66/618","338/9826",0.195266272189349,3.1046705348423,10.2007709257462,4.03160544701108e-17,1.93718641728883e-14,1.82695383677713e-14,"Y47G6A.14/C37A5.3/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59B1.8/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",66,0.106796116504854
"GO:0006955","immune response","67/618","366/9826",0.183060109289617,2.9105964949511,9.65032218556446,7.1373273602207e-16,2.2863238643907e-13,2.15622416040352e-13,"Y47G6A.14/C37A5.3/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59B1.8/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/Y38H6C.8/F56F10.1/PDB1.1/F53A9.6/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",67,0.108414239482201
"GO:0002376","immune system process","67/618","369/9826",0.181571815718157,2.88693310881329,9.57129837601936,1.09355641407281e-15,2.62726928480993e-13,2.47776861188603e-13,"Y47G6A.14/C37A5.3/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59B1.8/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/Y38H6C.8/F56F10.1/PDB1.1/F53A9.6/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",67,0.108414239482201
"GO:0098542","defense response to other organism","73/618","470/9826",0.15531914893617,2.46952420298836,8.45781978991629,2.4343269802193e-13,3.23551892832639e-11,3.0514067553415e-11,"Y47G6A.14/C37A5.3/F43C11.7/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/T25B9.9/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59A7.2/F59B1.8/R08F11.7/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/C50F4.8/F32G8.3/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F53A9.8/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",73,0.118122977346278
"GO:0009607","response to biotic stimulus","73/618","471/9826",0.154989384288747,2.46428105181429,8.43705464463947,2.71647928273445e-13,3.23551892832639e-11,3.0514067553415e-11,"Y47G6A.14/C37A5.3/F43C11.7/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/T25B9.9/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59A7.2/F59B1.8/R08F11.7/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/C50F4.8/F32G8.3/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F53A9.8/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",73,0.118122977346278
"GO:0043207","response to external biotic stimulus","73/618","471/9826",0.154989384288747,2.46428105181429,8.43705464463947,2.71647928273445e-13,3.23551892832639e-11,3.0514067553415e-11,"Y47G6A.14/C37A5.3/F43C11.7/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/T25B9.9/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59A7.2/F59B1.8/R08F11.7/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/C50F4.8/F32G8.3/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F53A9.8/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",73,0.118122977346278
"GO:0051707","response to other organism","73/618","471/9826",0.154989384288747,2.46428105181429,8.43705464463947,2.71647928273445e-13,3.23551892832639e-11,3.0514067553415e-11,"Y47G6A.14/C37A5.3/F43C11.7/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/T25B9.9/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59A7.2/F59B1.8/R08F11.7/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/C50F4.8/F32G8.3/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F53A9.8/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",73,0.118122977346278
"GO:0044419","biological process involved in interspecies interaction between organisms","73/618","472/9826",0.154661016949153,2.45906011738248,8.41634180388371,3.03014259676769e-13,3.23551892832639e-11,3.0514067553415e-11,"Y47G6A.14/C37A5.3/F43C11.7/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/T25B9.9/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59A7.2/F59B1.8/R08F11.7/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/C50F4.8/F32G8.3/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F53A9.8/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",73,0.118122977346278
"GO:0006952","defense response","73/618","475/9826",0.153684210526316,2.44352921137796,8.35451445541594,4.19581136651964e-13,4.03217472322537e-11,3.8027300911299e-11,"Y47G6A.14/C37A5.3/F43C11.7/F41C3.8/T19D12.4/C18E9.9/ZK1320.2/ZK673.1/Y17G7B.8/F08G2.5/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.3/F01D5.5/F56D2.5/C18D11.6/R02D3.8/C34H4.1/F49F1.5/C39H7.4/C17H12.8/H20E11.3/H20E11.2/C49C8.5/T25B9.9/K08D8.4/C32H11.4/F55G11.2/F55G11.4/K10D11.2/C14C6.5/F59A7.2/F59B1.8/R08F11.7/K09D9.1/C49G7.13/C49G7.10/T05B4.8/T05B4.9/T05B4.10/T05B4.12/F39G3.5/F08F3.4/C14C11.4/F31F7.1/K04A8.1/ZK1055.7/F52E1.5/C50F4.8/F32G8.3/F35E12.2/F35E12.9/F35E12.10/C25D7.5/C29F3.7/F54B8.4/F10A3.4/F13A7.11/F16H6.10/C08E8.4/ZK228.4/F11D11.3/Y43F8B.2/F56F10.1/PDB1.1/F53A9.6/F53A9.8/F18G5.6/F18H3.4/F54B11.11/M163.11/F22H10.2",73,0.118122977346278
