"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_num"
"GO:0045087","innate immune response","30/203","334/9826",0.0898203592814371,4.34765936108079,9.04054650229707,7.86504498428019e-12,3.03619236934612e-09,2.98190638137745e-09,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",30,0.147783251231527
"GO:0140546","defense response to symbiont","30/203","338/9826",0.0887573964497041,4.29620777100883,8.95663026466177,1.06476030586772e-11,3.03619236934612e-09,2.98190638137745e-09,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",30,0.147783251231527
"GO:0006955","immune response","31/203","366/9826",0.0846994535519126,4.09978734286253,8.77780504001627,1.56829303131737e-11,3.03619236934612e-09,2.98190638137745e-09,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F52E1.2/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",31,0.152709359605911
"GO:0002376","immune system process","31/203","369/9826",0.0840108401084011,4.06645573844901,8.72031643608872,1.93696482892894e-11,3.03619236934612e-09,2.98190638137745e-09,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F52E1.2/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",31,0.152709359605911
"GO:0098542","defense response to other organism","32/203","470/9826",0.0680851063829787,3.29558746462635,7.40724522248707,1.97872176203266e-09,1.53142153122177e-07,1.50404028500753e-07,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F26F12.5/B0024.4/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",32,0.157635467980296
"GO:0009607","response to biotic stimulus","32/203","471/9826",0.0679405520169851,3.28859046363988,7.39291473174802,2.08574418014378e-09,1.53142153122177e-07,1.50404028500753e-07,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F26F12.5/B0024.4/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",32,0.157635467980296
"GO:0043207","response to external biotic stimulus","32/203","471/9826",0.0679405520169851,3.28859046363988,7.39291473174802,2.08574418014378e-09,1.53142153122177e-07,1.50404028500753e-07,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F26F12.5/B0024.4/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",32,0.157635467980296
"GO:0051707","response to other organism","32/203","471/9826",0.0679405520169851,3.28859046363988,7.39291473174802,2.08574418014378e-09,1.53142153122177e-07,1.50404028500753e-07,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F26F12.5/B0024.4/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",32,0.157635467980296
"GO:0044419","biological process involved in interspecies interaction between organisms","32/203","472/9826",0.0677966101694915,3.28162311096268,7.3786222878846,2.19821272424177e-09,1.53142153122177e-07,1.50404028500753e-07,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F26F12.5/B0024.4/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",32,0.157635467980296
"GO:0006952","defense response","32/203","475/9826",0.0673684210526316,3.26089707026186,7.33597128935751,2.57094555815752e-09,1.61198286496476e-07,1.58316121212858e-07,"C16A11.5/T19D12.4/ZK1320.2/Y39G8B.9/Y39G8B.7/F01D5.1/F01D5.5/F56D2.5/Y41C4A.8/M04G7.1/Y77E11A.12/F49F1.5/C17H12.8/K08D8.4/C32H11.4/F55G11.4/K10D11.2/C14C6.5/T05B4.9/T05B4.10/F26F12.5/B0024.4/F35E12.9/C25D7.5/F54B8.4/F13A7.11/ZK218.5/F16H6.10/ZK228.4/C42D8.1/F18H3.4/F22H10.2",32,0.157635467980296
