target,contrast,log2fc_mean,log2fc_sem,n_runs,n_wells_total,p_value,runs,padj_BH
ceh-74,geno_trt,0.0859617237427672,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
fbxa-128,geno_trt,1.0332363890404337,,1,6,,qPCR_030325__1_,
fbxa-79,geno_trt,0.737545522643367,0.26302389750263455,2,15,0.2180808832068311,qPCR_030325__1_;qPCR_4_6_26,0.42594493636053377
nhr-58,geno_trt,0.5529557327311407,0.34294277955560953,2,12,0.3534129116369733,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,0.5138278521643502
oac-7,geno_trt,0.42684329721128494,0.3838938185796557,5,31,0.3285111407894919,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_,0.5138278521643502
t22f3.11,geno_trt,-0.3857989646380572,0.3925706981044421,4,24,0.39819661262003064,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_,0.5226330540637902
ugt-29,geno_trt,0.4401538779879681,0.49350597415922126,3,19,0.46656115366298545,ColeD_41726;qPCR_030325__1_;qPCR_4_6_26,0.5763402486425114
ugt-31,geno_trt,0.6455146755571984,0.24399318334147743,6,39,0.04566601410906574,ColeD_41726;Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_;qPCR_4_6_26,0.22013435131410578
zip-2,geno_trt,1.483995111139799,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
ceh-74,geno_unt,4.210174661803779,1.0383067125095762,3,18,0.055780420490206,qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3;qPCR_Results_-_RB2060_vs__N2,0.22013435131410578
cest-34,geno_unt,3.7919886382245367,,1,6,,qPCR_Results_-_RB2060_vs__N2,
daf-16,geno_unt,-3.583858845012827,,1,6,,qPCR_Results_-_RB2060_vs__N2,
fbxa-128,geno_unt,5.014195627815137,3.2602135655447,2,12,0.3670198944031073,qPCR_030325__1_;qPCR_Results_-_RB2060_vs__N2,0.5138278521643502
fbxa-79,geno_unt,1.1762063586172102,0.15674422294100773,2,15,0.08434063194424982,qPCR_030325__1_;qPCR_4_6_26,0.2530218958327494
nhr-58,geno_unt,-0.06867382017236864,0.3960367657466657,2,12,0.8906953444864729,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,0.8906953444864728
