run,target,contrast,ddcq,log2fc,n_num,n_den
Fw__qPCR_-_022026,nhr-58,treat_N2,0.5169951107792023,-0.5169951107792023,3,3
Fw__qPCR_-_022026,nhr-58,geno_unt,-0.327362945574297,0.327362945574297,3,3
Fw__qPCR_-_022026,nhr-58,geno_trt,-0.8958985122867502,0.8958985122867502,3,3
Fw__qPCR_-_022026,oac-7,treat_N2,-1.8797727133030349,1.8797727133030349,4,3
Fw__qPCR_-_022026,oac-7,geno_unt,-0.9836675152932876,0.9836675152932876,3,3
Fw__qPCR_-_022026,oac-7,geno_trt,-1.7322765990454885,1.7322765990454885,3,4
Fw__qPCR_-_022026,t22f3.11,treat_N2,1.5179080521070514,-1.5179080521070514,3,2
Fw__qPCR_-_022026,t22f3.11,geno_unt,0.2038005675455212,-0.2038005675455212,3,2
Fw__qPCR_-_022026,t22f3.11,geno_trt,-0.3210794075787071,0.3210794075787071,3,3
Fw__qPCR_-_022026,ugt-31,treat_N2,-1.9236132395420975,1.9236132395420975,3,4
Fw__qPCR_-_022026,ugt-31,geno_unt,4.3121408796686485,-4.3121408796686485,2,4
Fw__qPCR_-_022026,ugt-31,geno_trt,-1.5487783372261255,1.5487783372261255,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,nhr-58,treat_N2,-2.047782978091565,2.047782978091565,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,nhr-58,geno_unt,0.4647105859190343,-0.4647105859190343,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,nhr-58,geno_trt,-0.2100129531755312,0.2100129531755312,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,oac-7,treat_N2,-3.239267938953968,3.239267938953968,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,oac-7,geno_unt,0.03915391841655308,-0.03915391841655308,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,oac-7,geno_trt,0.5850045287476316,-0.5850045287476316,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,t22f3.11,treat_N2,-0.5151077250073405,0.5151077250073405,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,t22f3.11,geno_unt,0.19319606220745753,-0.19319606220745753,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,t22f3.11,geno_trt,0.8811573220561588,-0.8811573220561588,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,ugt-31,treat_N2,-1.6219405091816352,1.6219405091816352,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,ugt-31,geno_unt,-0.255750374008258,0.255750374008258,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,ugt-31,geno_trt,-0.7228491608752126,0.7228491608752126,3,3
qPCR_-_Treated_vs__Untreated__1_,ceh-74,treat_N2,2.202153514042965,-2.202153514042965,3,3
qPCR_-_Treated_vs__Untreated__1_,ceh-74,geno_unt,-2.9342494162271,2.9342494162271,3,3
qPCR_-_Treated_vs__Untreated__1_,ceh-74,geno_trt,-0.0859617237427672,0.0859617237427672,3,3
qPCR_-_Treated_vs__Untreated__1_,oac-7,treat_N2,-0.9895348210279835,0.9895348210279835,3,3
qPCR_-_Treated_vs__Untreated__1_,oac-7,geno_unt,-3.02608579657452,3.02608579657452,3,3
qPCR_-_Treated_vs__Untreated__1_,oac-7,geno_trt,-0.4627615101167681,0.4627615101167681,3,3
qPCR_-_Treated_vs__Untreated__1_,t22f3.11,treat_N2,3.1503457030536706,-3.1503457030536706,3,3
qPCR_-_Treated_vs__Untreated__1_,t22f3.11,geno_unt,7.244420991296998,-7.244420991296998,2,3
qPCR_-_Treated_vs__Untreated__1_,t22f3.11,geno_trt,-0.24393873102514071,0.24393873102514071,3,3
qPCR_-_Treated_vs__Untreated__1_,ugt-31,treat_N2,-2.004387965213281,2.004387965213281,3,3
qPCR_-_Treated_vs__Untreated__1_,ugt-31,geno_unt,-4.454955677957318,4.454955677957318,3,3
qPCR_-_Treated_vs__Untreated__1_,ugt-31,geno_trt,-0.0599822176953484,0.0599822176953484,3,3
qPCR_-_Treated_vs__Untreated__1_,zip-2,treat_N2,0.0345970004076314,-0.0345970004076314,3,3
qPCR_-_Treated_vs__Untreated__1_,zip-2,geno_unt,0.8715702490655663,-0.8715702490655663,3,3
qPCR_-_Treated_vs__Untreated__1_,zip-2,geno_trt,-1.483995111139799,1.483995111139799,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,ceh-74,geno_unt,-3.429245617303033,3.429245617303033,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,oac-7,geno_unt,-3.4069224476334217,3.4069224476334217,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,pals-24,geno_unt,-1.6652546502901648,1.6652546502901648,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,t22f3.11,geno_unt,7.1040871065300335,-7.1040871065300335,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,zip-2,geno_unt,0.3693546340610016,-0.3693546340610016,3,3
qPCR_030325__1_,fbxa-128,treat_N2,-0.8795106962009669,0.8795106962009669,3,3
qPCR_030325__1_,fbxa-128,geno_unt,-1.753982062270436,1.753982062270436,3,3
qPCR_030325__1_,fbxa-128,geno_trt,-1.0332363890404337,1.0332363890404337,3,3
qPCR_030325__1_,fbxa-79,treat_N2,-1.3878991640291003,1.3878991640291003,3,3
qPCR_030325__1_,fbxa-79,geno_unt,-1.0194621356762026,1.0194621356762026,3,3
qPCR_030325__1_,fbxa-79,geno_trt,-1.0005694201460016,1.0005694201460016,3,3
qPCR_030325__1_,oac-7,treat_N2,0.09564711318312852,-0.09564711318312852,3,3
qPCR_030325__1_,oac-7,geno_unt,-0.8521728379569505,0.8521728379569505,3,3
qPCR_030325__1_,oac-7,geno_trt,0.024195721149105686,-0.024195721149105686,3,3
qPCR_030325__1_,ugt-29,treat_N2,-3.724552370002536,3.724552370002536,3,3
qPCR_030325__1_,ugt-29,geno_unt,-1.1847557221954916,1.1847557221954916,3,3
qPCR_030325__1_,ugt-29,geno_trt,-0.9240148904914435,0.9240148904914435,3,3
qPCR_030325__1_,ugt-31,treat_N2,-2.563353314813269,2.563353314813269,3,3
qPCR_030325__1_,ugt-31,geno_unt,-1.2169575574114593,1.2169575574114593,3,3
qPCR_030325__1_,ugt-31,geno_trt,-0.2833401120243193,0.2833401120243193,3,3
qPCR_4_6_26,fbxa-79,treat_N2,-2.161285486132904,2.161285486132904,3,3
qPCR_4_6_26,fbxa-79,geno_unt,-1.332950581558218,1.332950581558218,6,3
qPCR_4_6_26,fbxa-79,geno_trt,-0.4745216251407325,0.4745216251407325,6,3
qPCR_4_6_26,ugt-29,treat_N2,-4.183472602085304,4.183472602085304,3,3
qPCR_4_6_26,ugt-29,geno_unt,-3.2168670762069635,3.2168670762069635,4,3
qPCR_4_6_26,ugt-29,geno_trt,0.5467956414619963,-0.5467956414619963,4,3
qPCR_4_6_26,ugt-31,treat_N2,-2.225646847285072,2.225646847285072,3,3
qPCR_4_6_26,ugt-31,geno_unt,-1.5803427867351254,1.5803427867351254,4,3
qPCR_4_6_26,ugt-31,geno_trt,-1.1238189251162578,1.1238189251162578,6,3
qPCR_Results_-_RB2060_vs__N2,ceh-74,geno_unt,-6.267028951881203,6.267028951881203,3,3
qPCR_Results_-_RB2060_vs__N2,cest-34,geno_unt,-3.7919886382245367,3.7919886382245367,3,3
qPCR_Results_-_RB2060_vs__N2,daf-16,geno_unt,3.583858845012827,-3.583858845012827,3,3
qPCR_Results_-_RB2060_vs__N2,fbxa-128,geno_unt,-8.274409193359837,8.274409193359837,3,3
qPCR_Results_-_RB2060_vs__N2,zip-2,geno_unt,-1.5919011060063375,1.5919011060063375,3,3
ColeD_41726,oac-7,treat_N2,-1.5474928339168237,1.5474928339168237,3,3
ColeD_41726,oac-7,geno_unt,-0.24792977025790816,0.24792977025790816,3,3
ColeD_41726,oac-7,geno_trt,-0.5483786267909054,0.5483786267909054,3,3
ColeD_41726,t22f3.11,treat_N2,-0.15861234566725813,0.15861234566725813,3,3
ColeD_41726,t22f3.11,geno_unt,-0.8392781289225713,0.8392781289225713,3,3
ColeD_41726,t22f3.11,geno_trt,1.227056675099918,-1.227056675099918,3,3
ColeD_41726,ugt-29,treat_N2,-3.045324133764062,3.045324133764062,3,3
ColeD_41726,ugt-29,geno_unt,-0.2208103904504265,0.2208103904504265,3,3
ColeD_41726,ugt-29,geno_trt,-0.9432423849344571,0.9432423849344571,3,3
ColeD_41726,ugt-31,treat_N2,-1.9297193865357598,1.9297193865357598,3,3
ColeD_41726,ugt-31,geno_unt,-0.4898063905066591,0.4898063905066591,3,3
ColeD_41726,ugt-31,geno_trt,-0.13431930040592732,0.13431930040592732,3,3
